date;volume;diffWithPrevious;previousEvolutionPercent;totalEvolutionPercent;
2015-12-02Z;1.7116185418755687;0.050829992467120055;3.0605938658009797;-0.6734319131645532;
2015-05-12Z;1.6607885494084487;-0.17214410843876693;-9.391731207460216;-3.734025778965533;
2014-12-11Z;1.8329326578472156;0.33884295999066194;22.67889006107008;5.657705428494683;
2014-07-02Z;1.4940896978565537;-0.1370181307795515;-8.40031102628714;-17.021184632575398;
2014-05-27Z;1.6311078286361052;0.2571392563023591;18.71507554685889;-8.620873606288256;
2014-01-17Z;1.373968572333746;-0.7339332959288705;-34.81819087402754;-27.335949153147148;
2013-12-14Z;2.1079018682626165;0.15086662620929592;7.708937630116805;7.482241720880397;
2013-08-28Z;1.9570352420533206;0.042013652460943796;2.1938996766029484;-0.2266959092364078;
2013-05-24Z;1.9150215895923768;0.15998377615237636;9.115688273336781;-2.420595585839356;
2013-02-05Z;1.7550378134400004;-0.280433229917727;-13.777313650953364;-11.536283859176137;
2013-01-09Z;2.0354710433577274;0.04461566220288016;2.2410297917772253;2.2410297917772253;
2012-12-03Z;1.9908553811548473;0.0;0.0;0.0;
